nationality,date
Italian,5/13/1950
Argentine,5/21/1950
American,5/30/1950
Italian,6/4/1950
Argentine,6/18/1950
Argentine,7/2/1950
Italian,9/3/1950
Argentine,5/27/1951
American,5/30/1951
Italian,6/17/1951
Argentine,7/1/1951
Italian,7/1/1951
Argentine,7/14/1951
Italian,7/29/1951
Italian,9/16/1951
Argentine,10/28/1951
Italian,5/18/1952
American,5/30/1952
Italian,6/22/1952
Italian,7/6/1952
Italian,7/19/1952
Italian,8/3/1952
Italian,8/17/1952
Italian,9/7/1952
Italian,1/18/1953
American,5/30/1953
Italian,6/7/1953
Italian,6/21/1953
British,7/5/1953
Italian,7/18/1953
Italian,8/2/1953
Italian,8/23/1953
Argentine,9/13/1953
Argentine,1/17/1954
American,5/31/1954
Argentine,6/20/1954
Argentine,7/4/1954
Argentine,7/17/1954
Argentine,8/1/1954
Argentine,8/22/1954
Argentine,9/5/1954
British,10/24/1954
Argentine,1/16/1955
French,5/22/1955
American,5/30/1955
Argentine,6/5/1955
Argentine,6/19/1955
British,7/16/1955
Argentine,9/11/1955
Argentine,1/22/1956
Italian,1/22/1956
British,5/13/1956
American,5/30/1956
British,6/3/1956
British,7/1/1956
Argentine,7/14/1956
Argentine,8/5/1956
British,9/2/1956
Argentine,1/13/1957
Argentine,5/19/1957
American,5/30/1957
Argentine,7/7/1957
British,7/20/1957
British,7/20/1957
Argentine,8/4/1957
British,8/18/1957
British,9/8/1957
British,1/19/1958
French,5/18/1958
British,5/26/1958
American,5/30/1958
British,6/15/1958
British,7/6/1958
British,7/19/1958
British,8/3/1958
British,8/24/1958
British,9/7/1958
British,10/19/1958
Australian,5/10/1959
American,5/30/1959
Swedish,5/31/1959
British,7/5/1959
Australian,7/18/1959
British,8/2/1959
British,8/23/1959
British,9/13/1959
New Zealander,12/12/1959
New Zealander,2/7/1960
British,5/29/1960
American,5/30/1960
Australian,6/6/1960
Australian,6/19/1960
Australian,7/3/1960
Australian,7/16/1960
Australian,8/14/1960
American,9/4/1960
British,11/20/1960
British,5/14/1961
German,5/22/1961
American,6/18/1961
Italian,7/2/1961
German,7/15/1961
British,8/6/1961
American,9/10/1961
British,10/8/1961
British,5/20/1962
New Zealander,6/3/1962
British,6/17/1962
American,7/8/1962
British,7/21/1962
British,8/5/1962
British,9/16/1962
British,10/7/1962
British,12/29/1962
British,5/26/1963
British,6/9/1963
British,6/23/1963
British,6/30/1963
British,7/20/1963
British,8/4/1963
British,9/8/1963
British,10/6/1963
British,10/27/1963
British,12/28/1963
British,5/10/1964
British,5/24/1964
British,6/14/1964
American,6/28/1964
British,7/11/1964
British,8/2/1964
Italian,8/23/1964
British,9/6/1964
British,10/4/1964
American,10/25/1964
British,1/1/1965
British,5/30/1965
British,6/13/1965
British,6/27/1965
British,7/10/1965
British,7/18/1965
British,8/1/1965
British,9/12/1965
British,10/3/1965
American,10/24/1965
British,5/22/1966
British,6/12/1966
Australian,7/3/1966
Australian,7/16/1966
Australian,7/24/1966
Australian,8/7/1966
Italian,9/4/1966
British,10/2/1966
British,10/23/1966
Mexican,1/2/1967
New Zealander,5/7/1967
British,6/4/1967
American,6/18/1967
Australian,7/2/1967
British,7/15/1967
New Zealander,8/6/1967
Australian,8/27/1967
British,9/10/1967
British,10/1/1967
British,10/22/1967
British,1/1/1968
British,5/12/1968
British,5/26/1968
New Zealander,6/9/1968
British,6/23/1968
