nationality,country
Afghan,Afghanistan
Albanian,Albania
Algerian,Algeria
American,United States
Andorran,Andorra
Angolan,Angola
Antiguan,Antigua and Barbuda
Argentine,Argentina
Armenian,Armenia
Australian,Australia
Austrian,Austria
Azerbaijani,Azerbaijan
Azeri,Azerbaijan
Bahamian,The Bahamas
Bahraini,Bahrain
Barbadian,Barbados
Barbudan,Antigua and Barbuda
Basotho,Lesotho
Belarusian,Belarus
Belgian,Belgium
Belizean,Belize
Bengali,Bangladesh
Beninese,Benin
Beninois,Benin
Bhutanese,Bhutan
Bissau-Guinean,Guinea-Bissau
Bolivian,Bolivia
Bosnian,Bosnia and Herzegovina
Botswanan,Botswana
Brazilian,Brazil
British,United Kingdom
Bruneian,Brunei
Bulgarian,Bulgaria
Burkinabe,Burkina Faso
Burmese,Burma
Burundian,Burundi
Cabo Verdean,Cabo Verde
Cambodian,Cambodia
Cameroonian,Cameroon
Canadian,Canada
Central African,Central African Republic
Chadian,Chad
Chilean,Chile
Chinese,People's Republic of China
Colombian,Colombia
Comoran,Comoros
Comorian,Comoros
Congolese,Democratic Republic of the Congo
Costa Rican,Costa Rica
Croatian,Croatia
Cuban,Cuba
Cypriot,Cyprus
Czech,Czech Republic
Danish,Denmark
Djiboutian,Djibouti
Dominican,Dominican Republic
Dutch,Netherlands
Ecuadorian,Ecuador
Egyptian,Egypt
Emirati,United Arab Emirates
Emiri,United Arab Emirates
Emirian,United Arab Emirates
Equatoguinean,Equatorial Guinea
Equatorial Guinean,Equatorial Guinea
Eritrean,Eritrea
Estonian,Estonia
Ethiopian,Ethiopia
Fijian,Fiji
Filipino,Philippines
Finnish,Finland
French,France
Gabonese,Gabon
Gambian,The Gambia
Georgian,Georgia
German,Germany
Ghanaian,Ghana
Gibraltar,Gibraltar
Greek,Greece
Grenadian,Grenada
Guatemalan,Guatemala
Guinean,Guinea
Guyanese,Guyana
Haitian,Haiti
Hellenic,Greece
Herzegovinian,Bosnia and Herzegovina
Honduran,Honduras
Hungarian,Hungary
I-Kiribati,Kiribati
Icelandic,Iceland
Indian,India
Indonesian,Indonesia
Iranian,Iran
Iraqi,Iraq
Irish,Ireland
Israeli,Israel
Italian,Italy
Ivorian,Ivory Coast
Jamaican,Jamaica
Japanese,Japan
Jordanian,Jordan
Kazakh,Kazakhstan
Kazakhstani,Kazakhstan
Kenyan,Kenya
Kirghiz,Kyrgyzstan
Kirgiz,Kyrgyzstan
Kittitian,Saint Kitts and Nevis
Kuwaiti,Kuwait
Kyrgyz,Kyrgyzstan
Kyrgyzstani,Kyrgyzstan
Lao,Laos
Laotian,Laos
Latvian,Latvia
Lebanese,Lebanon
Lettish,Latvia
Liberian,Liberia
Libyan,Libya
Liechtensteiner,Liechtenstein
Lithuanian,Lithuania
Luxembourg,Luxembourg
Luxembourgish,Luxembourg
Macedonian,Republic of Macedonia
Magyar,Hungary
Malagasy,Madagascar
Malawian,Malawi
Malaysian,Malaysia
Maldivian,Maldives
Malian,Mali
Malinese,Mali
Maltese,Malta
Marshallese,Marshall Islands
Martinican,Martinique
Martiniquais,Martinique
Mauritanian,Mauritania
Mauritian,Mauritius
Mexican,Mexico
Micronesian,Federated States of Micronesia
Moldovan,Moldova
Monacan,Monaco
Monegasque,Monaco
Mongolian,Mongolia
Montenegrin,Montenegro
Moroccan,Morocco
Motswana,Botswana
Mozambican,Mozambique
Namibian,Namibia
Nauruan,Nauru
Nepalese,Nepal
Nepali,Nepal
Netherlandic,Netherlands
Nevisian,Saint Kitts and Nevis
New Zealander,New Zealand
Ni-Vanuatu,Vanuatu
Nicaraguan,Nicaragua
Nigerian,Nigeria
Nigerien,Niger
North Korean,North Korea
Northern Marianan,Northern Mariana Islands
Norwegian,Norway
NZ,New Zealand
Omani,Oman
Pakistani,Pakistan
Palauan,Palau
Palestinian,Palestine
Panamanian,Panama
Papua New Guinean,Papua New Guinea
Papuan,Papua New Guinea
Paraguayan,Paraguay
Persian,Iran
Peruvian,Peru
Philippine,Philippines
Polish,Poland
Portuguese,Portugal
Puerto Rican,Puerto Rico
Qatari,Qatar
Romanian,Romania
Russian,Russia
Rwandan,Rwanda
Saint Lucian,Saint Lucia
Saint Vincentian,Saint Vincent and the Grenadines
Salvadoran,El Salvador
Sammarinese,San Marino
Samoan,Samoa
Sao Tomean,Sao Tome and Principe
Saudi,Saudi Arabia
Saudi Arabian,Saudi Arabia
Senegalese,Senegal
Serbian,Serbia
Seychellois,Seychelles
Sierra Leonean,Sierra Leone
Singapore,Singapore
Singaporean,Singapore
Slovak,Slovakia
Slovene,Slovenia
Slovenian,Slovenia
Solomon Island,Solomon Islands
Somali,Somalia
South African,South Africa
South Korean,South Korea
South Sudanese,South Sudan
Spanish,Spain
Sri Lankan,Sri Lanka
Sudanese,Sudan
Surinamese,Suriname
Swazi,Swaziland
Swedish,Sweden
Swiss,Switzerland
Syrian,Syria
Tajikistani,Tajikistan
Tanzanian,Tanzania
Thai,Thailand
Timorese,East Timor
Tobagonian,Trinidad and Tobago
Togolese,Togo
Tokelauan,Tokelau
Tongan,Tonga
Trinidadian,Trinidad and Tobago
Tunisian,Tunisia
Turkish,Turkey
Turkmen,Turkmenistan
Tuvaluan,Tuvalu
U.S.,United States
Ugandan,Uganda
UK,United Kingdom
Ukrainian,Ukraine
United States,United States of America
Uruguayan,Uruguay
Uzbek,Uzbekistan
Uzbekistani,Uzbekistan
Vanuatuan,Vanuatu
Vatican,Vatican City State
Venezuelan,Venezuela
Vietnamese,Vietnam
Vincentian,Saint Vincent and the Grenadines
Yemeni,Yemen
Zambian,Zambia
Zelanian,New Zealand
Zimbabwean,Zimbabwe
